Key,Issue Type,Summary,Description,Story Points,Status,Skill,Components,Epic Link,Sprint,Bug Category,Bug Root Cause,Start date,Due Date,Author,Priority,Assignee,Actual Points,Affected services,Affects versions,Approvals,Approvers,Attachment,Change completion date,Change risk,Change reason,Change start date,Change type,Clockwork Timer,Comment,Content type,Created,Creator,Developer,Development,Environment,Due date,Epic Color,Epic Name,Epic Status,Estimated Hours,Feature,Fix In Build,Fix versions,Flagged,Found in Build,Found Phase,Images,Impact,Issue color,Issue ID,Labels,Last Viewed,Linked Issues,Log Work,Mockup,Original estimate,Organizations,parent,Parent Link,Process,Progress,Project,Project Team,Publication date,Pull requests,Rank,Remaining Estimate,Report Story Points,Reporter,Request language,Request Type,Request participants,Resolution,Resolved,Restrict to,Satisfaction date,Satisfaction,Severity,Security Level,Sprint,Status Category,Status Category Changed,Status Transition,Story point estimate,Sub-tasks,Target end,Target start,Team,Team,Tester,Time Spent,Time to resolution,Time tracking,Time to first response,Updated,Votes,Work Ratio,Watchers,[CHART] Date of First Response,[CHART] Time in Status,Σ Original Estimate,Σ Progress,Σ Remaining Estimate,Σ Time Spent
KANOO-5555,Story,AUT - Load Kanoo Visipay - Dashboard,"Load test Visipay - Dashboard page
Expected page load fully completed within 5s",5,Need  Clarification,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/28/2021,,Medium,Huy Tang,,,,,,image-20210728-032827.png;image-20210729-105216.png,,,,,,,"Results on {{2021-07-28}} at Taskforce env: ~62s

!image-20210728-032827.png|width=1920,height=1040!;Results on {{2021-07-29}} at Taskforce env: 

* Case 1 - 3 requests payment: {color:#ff5630}*Cannot load the chart*{color}
* Case 2 - 105 requests payment: {color:#ff5630}*Cannot load the chart*{color}

!image-20210729-105216.png|width=1919,height=904!

[~accountid:557058:4c602b42-35ce-411c-b900-8ebe293945b4] Please review this result ",,7/21/2021 10:20:04,Huy Tang,Hao Tran,{},,,,,,,,,,,,,,,,31364,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,,2|i00dlr:,,,Huy Tang,,,,,,[field not supported],,0,,,,In Progress,7/28/2021 10:25:40,"341907,341003",,,,,,,,,,,,7/29/2021 17:51:53,0,,2,7/28/2021 10:27:27,,,0,,
KANOO-5554,Story,AUT - Load Kanoo  PWK Guest Checkout with Credit Card,"Load test for PWK Guest Checkout with Credit Card
Expect to have the output for limitation of PWK Guest Checkout component.",5,QA Ready,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/28/2021,,High,Huy Tang,,,,,,,,,,,,,"[~accountid:557058:4c602b42-35ce-411c-b900-8ebe293945b4] Please review this report:

||*Number of Requests/s*||*Response time/request*||*Status*||*Load page*||
|80|50s|Passed|* Cannot load Visipay, Dashboard
* Transaction page of Visipay: 6s|
|100|53s|Passed|* Cannot load Visipay, Dashboard
* Transaction page of Visipay: 7.2s|
|105|58s|Passed|* Cannot load Visipay, Dashboard
* Transaction page of Visipay: 7.3s|
|110|57s|*Failed*
Only 70 requests can be made, other requests throw an exception| |

Limitation of PWK Guest Checkout component on Taskforce env: 

* ~105 requests/s
* ~750 requests/5m",,7/21/2021 10:18:31,Huy Tang,kiet.tran,{},,,,,,,,,,,,,,,,31363,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,.,2|i00dlj:,,,Huy Tang,,,,,,[field not supported],,0,,,,In Progress,7/28/2021 10:25:34,"341925,341924,341923,341002",,,,,,,,,,,,7/29/2021 18:12:01,0,,2,7/29/2021 18:11:06,,,0,,
KANOO-5553,Story,AUT - Smoke Kanoo GDS Give Gift Card,"* Login as Manager, give  gift cards for single and multiple users",5,To Do,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,8/2/2021,,Medium,Vũ Đình Nhân,,,,,,,,,,,,,,,7/21/2021 10:15:52,Huy Tang,Vũ Đình Nhân,{},,,,,,,,,,,,,,,,31362,Kanoo_Urgency_Taskforce,,KANOO-5667,6600,,,,,,,100,Kanoo,,,,2|i00dlb:,0,,Huy Tang,,,,,,[field not supported],,0,,,,To Do,7/21/2021 10:15:53,,,,,,,,,6600,,1h 50m,,7/27/2021 10:21:09,0,,1,,,,100,0,6600
KANOO-5552,Story,AUT - Smoke Kanoo GDS Manager Management,"Login as Admin

Create Manager

Edit Manager information

Login with new created Manager
",5,In Progress,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/29/2021,,Medium,Vũ Đình Nhân,,,,,,,,,,,,,,,7/21/2021 10:15:19,Huy Tang,Vũ Đình Nhân,{},,,,,,,,,,,,,,,,31361,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,,2|i00dl3:,,,Huy Tang,,,,,,[field not supported],,0,,,,In Progress,7/28/2021 10:25:22,341001,,,,,,,,,,,,7/28/2021 10:25:22,0,,1,,,,0,,
KANOO-5551,Story,AUT - Smoke Kanoo PWK payment as login User,"* Payment success with cash card
* Payment success with sand dollard card
* Payment fails insufficient balance for both 2 cases above.
* Payment fails KYC",3,Done,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,,,Medium,Ly Le,,,,,,,,,,,,,,,7/21/2021 10:13:38,Huy Tang,Vũ Đình Nhân,{},,,,,,,,,,,,,,,,31360,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,.,2|i00dkv:,,,Huy Tang,,,,,,[field not supported],,0,,,,Done,7/29/2021 18:13:55,"341943,341942,341941,337714,337713,337712",,,,,,,,,,,,7/29/2021 18:13:55,0,,1,,,,0,,
KANOO-5550,Story,AUT - Smoke Kanoo PWK payment as Guest with Credit Card,"* PWK
* Guest Credit Card
* Payment success
* Payment fails insufficient balance.
* Payment fails invalid CVV
* Payment fails invalid expiry date
* Payment fails invalid Credit Card Number",5,Done,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/23/2021,,Medium,Ly Le,,,,,,,,,,,,,,,7/21/2021 10:10:32,Huy Tang,Vũ Đình Nhân,{},,,,,,,,,,,,,,,,31359,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,.,2|i00dkn:,,,Huy Tang,,,,,,[field not supported],,0,,,,Done,7/29/2021 18:13:46,"341940,341939,341938,339304,339303,337709",,,,,,,,,,,,7/29/2021 18:13:46,0,,1,,,,0,,
KANOO-5549,Story,AUT - Smoke Kanoo web-app Purchasing Flow,"* Login as existing user
* Add item into shopping cart
* Make payment
* Check order amount
* Check transaction history amount and fee. 
* Check balance",5,Done,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/22/2021,,Medium,Ly Le,,,,,,,,,,,,,,,7/21/2021 10:09:38,Huy Tang,kiet.tran,{},,,,,,,,,,,,,,,,31358,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,.,2|i00dkf:,,,Huy Tang,,,,,,[field not supported],,0,,,,Done,7/29/2021 18:13:29,"341937,341936,341935,339302,339301,337706",,,,,,,,,,,,7/29/2021 18:13:29,0,,1,,,,0,,
KANOO-5548,Story,AUT - Smoke Kanoo web-app Wallet and Transfer Flow,"* Login using existing user
* Check wallet balance
* Transfer money, check the balance after transferring.",5,In Progress,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/29/2021,,Medium,kiet.tran,,,,,,,,,,,,,"[~accountid:557058:4c602b42-35ce-411c-b900-8ebe293945b4] I changed the due date because the environment has not yet implemented the test case

New due Date: {{2021-07-29}}",,7/21/2021 10:08:55,Huy Tang,kiet.tran,{},,,,,,,,,,,,,,,,31357,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,,2|i00dk7:,,,Huy Tang,,,,,,[field not supported],,0,,,,In Progress,7/22/2021 10:17:06,337704,,,,,,,,,,,,7/29/2021 10:36:04,0,,2,7/28/2021 10:25:04,,,0,,
KANOO-5547,Story,AUT - Smoke KZ Site Purchasing Flow,"* Login using existing user
* Check wallet balance
* Purchase
* Add item into shopping cart
* Make payment
* Check order amount
* Check transaction history amount and fee. 
* Check balance
* Purchase As Guest with Credit Card",5,Done,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/23/2021,,Medium,Ly Le,,,,,,,,,,,,,,,7/21/2021 10:07:26,Huy Tang,Vũ Đình Nhân,{},,,,,,,,,,,,,,,,31356,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,.,2|i00djz:,,,Huy Tang,,,,,,[field not supported],,0,,,,Done,7/29/2021 18:13:14,"341934,341933,341932,339300,339299,337701",,,,,,,,,,,,7/29/2021 18:13:14,0,,1,,,,0,,
KANOO-5546,Story,AUT - Smoke Kanoo App Purchasing Flow,"Login as existing user

Add item into shopping cart

Make payment

Check order amount

Check transaction history amount and fee. 

Check balance",5,Done,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,,,Medium,Ly Le,,,,,,,,,,,,,,,7/21/2021 10:06:14,Huy Tang,Hao Tran,{},,,,,,,,,,,,,,,,31355,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,.,2|i00djr:,,,Huy Tang,,,,,,[field not supported],,0,,,,Done,7/29/2021 18:12:59,"341931,341930,341929,337699,337698,337697",,,,,,,,,,,,7/29/2021 18:12:59,0,,1,,,,0,,
KANOO-5545,Story,AUT - Smoke Kanoo App Wallet and Transfer,"Login as existing User

Check wallet balance

Transfer money, check the balance after transferring.

",5,Done,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,,,Medium,Ly Le,,,,,,,,,,,,,,,7/21/2021 10:05:14,Huy Tang,Hao Tran,{},,,,,,,,,,,,,,,,31354,Kanoo_Urgency_Taskforce,,,,,,,,,,0,Kanoo,,,.,2|i00djj:,,,Huy Tang,,,,,,[field not supported],,0,,,,Done,7/29/2021 18:12:35,"341928,341927,341926,337695,337694,337692",,,,,,,,,,,,7/29/2021 18:12:35,0,,1,,,,0,,
KANOO-5544,Story,AUT - Smoke Kanoo App Access Flow,"Signup

Login using new signup user

Login using existing user",3,In Progress,,Automation Test,KANOO-5247,Kanoo Taskforce - Sprint 1,,,,7/29/2021,,Medium,Hao Tran,,,,,,Kanoo_staging2.apk,,,,,,,"[~accountid:60ab908ce49d1100694cd1cf] [~accountid:60ab908c411c22006820a404] [~accountid:60ab908c317edd007168c28a] 
Please review the Kanoo app for staging2

[^Kanoo_staging2.apk]

;[~accountid:557058:4c602b42-35ce-411c-b900-8ebe293945b4] I changed the due date because the environment has not yet implemented the test case

New due Date: {{2021-07-29}} ",,7/21/2021 10:03:42,Huy Tang,Hao Tran,{},,,,,,,,,,,,,,,,31353,Kanoo_Urgency_Taskforce,,,12600,,,,,,,100,Kanoo,,,,2|i00djb:,0,,Huy Tang,,,,,,[field not supported],,0,,,,In Progress,7/22/2021 9:15:25,337596,,,,,,,,12600,,3h 30m,,7/28/2021 10:24:44,0,,2,7/21/2021 13:46:27,,,100,0,12600
KANOO-5537,Story,[iOS] Hotfix - Remove SSL certification check,Remove the logic check for SSL certification in iOS App verifying the API domain SSL.,1,Done,,App - Kanoo iOS,,Kanoo Sprint 31 - Crickets,,,7/21/2021,7/21/2021,,Medium,DUY LINH,,,,,,,,,,,,,"[~accountid:557058:4c602b42-35ce-411c-b900-8ebe293945b4] I've created some builds hotfix.
Pls, help me check.
Kanoo (Sandbox: 4.3.38.0, Staging: 4.3.38.0)
Kanoo POS (Sandbox: 3.3.6.0, Staging: 3.3.6.0);Verified and passed on Sandbox.

Kanoo (Sandbox: 4.3.38.0)
Kanoo POS (Sandbox: 3.3.6.0",,7/20/2021 17:12:57,Huy Tang,DUY LINH,{},,,,,,,,,S30_Hotfix_2,,,,,,,31344,,,KANOO-5620;KANOO-5621,,,,,,,,0,Kanoo,,,none,2|hzwv3c:nz,,,Huy Tang,,,,,,[field not supported],,0,,,,Done,7/23/2021 17:35:45,"338889,338888,337600,337599,337598,336953",,,,,,,Na Pham,,,,,7/27/2021 14:33:37,0,,3,7/21/2021 13:38:26,,,0,,
KANOO-5534,Story,"[BE] Visipay - Fees Configuration - ""Gift Card Cancellation"" change","*Acceptance criteria*

* After creating a new fee for Gift card Cancelation in [https://kardsys.atlassian.net/browse/KANOO-5448|https://kardsys.atlassian.net/browse/KANOO-5448|smart-link] , there is a change for that fee
** We only allow setting Percentage for this fee so that when editing I do not need to expand the Value Type drop-down anymore. It will be always Percentage %
** *Apply for only “Gift Card Cancellation Refund“ fee*

!image-20210720-021411 (00b404ab-b5ba-4807-bdc4-08f0d5834527).png|width=100%!",2,In Progress,,,KANOO-5265,Kanoo Sprint 31 - Kanoo Team,,,8/4/2021,8/4/2021,,Medium,Ánh Mai,,,,,,image-20210714-050325.png;image-20210720-021411.png;image-20210720-021411 (00b404ab-b5ba-4807-bdc4-08f0d5834527).png,,,,,,,,,7/20/2021 9:56:16,Viet Dung,,{},,,,,,,,,S31_Milestone2,,,,,,,31335,,,KANOO-5448,,,,,,,,0,Kanoo,,,,2|i00dfr:,,,Viet Dung,,,,,,[field not supported],,0,,,,In Progress,7/26/2021 14:38:24,339512,,,,,,,,,,,,7/26/2021 14:38:24,0,,1,,,,0,,
KANOO-5530,Story,[BE] GDS - Display Gift Cash Card in places,"*Acceptance Criteria*

+_User page → User Details modal_+

* If that user has been issued Cash Card for N times with the same issuer, I can see only one record

||Method||Amount||Amount Used||Status||Email||Phone||Issuance Status||Date||Actions||
|Cash Card|<This is the total amount of N times>|<This the total amount used until the current day>|Not Used or Used or Partially Used|<the latest email in N times>|<the latest Phone Number in N times>|SUCCESS|<the last date in N times>|It is empty|

+_Reports → Issuance_+

* After a GCC is issued, I can see basic information such as 

||Gift Image||NIB number||Email||Phone||Value of Benefit Used||Value of Benefit Given||Type of Benefit Given||Merchant||Issuance Date||
|<Yellow Card image>|<nib of user>|<email of user>|<phone of user>|<used amount>|<original amount>|Cash Card|<issuer name>|<issuance Date>|

* If a Cash Card is issued for one Kanoo user N times by the same issuer, I should see n record. For example, GCC issued for NIB007 3 times with amount $1.00, $2.00, $3.00 respectively, it displays as below

||Gift  Image||NIB number||Email||Phone||Value of Benefit Used||Value of Benefit Given||Type of Benefit Given||Merchant||Issuance Date||
|<Yellow Card image>|NIB007|kingma@kardapp.net|+18447744261|<The last used amount>|$3.00|Cash Card|shoppe@yopmail.com|Jul 19, 2021, 15:45|
|<Yellow Card image>|NIB007|kingma@kardapp.net|+18447744261|$0.00|$2.00|Cash Card|shoppe@yopmail.com|Jul 19, 2021, 12:45|
|<Yellow Card image>|NIB007|kingma@kardapp.net|+18447744261|$0.00|$1.00|Cash Card|shoppe@yopmail.com|Jul 19, 2021, 11:45|",2,Done,WebApp,,KANOO-4585,Kanoo Sprint 31 - Worm,,,,,,Medium,thuy.hoang,,,,,,,,,,,,,[~accountid:6033551b4623c60069994488] [~accountid:5eeb358e96b9660abf6c15b5] I have updated AC of this,,7/19/2021 19:04:48,Viet Dung,,{},,,,,,,,,S31_Milestone 1,,,,,,,31330,,,,,,,,,,,0,Kanoo,,,"[http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10623/diffs|http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10623/diffs]
[http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10693|http://gitlab.tpssoft.com.vn/visikard/kashkard/merge_requests/10693]",2|hzwv3i:x8r,,,Viet Dung,,,,,,[field not supported],,0,,,,Done,7/27/2021 15:12:11,"340470,340469,339160,338355,338354,336562",,,,,,,Tri Pham,,,,,7/27/2021 15:12:11,0,,1,,,,0,,
